Date,USD_JPY,CPI,change_USD_JPY,change_CPI
1-Mar,86.59,2.853261,-0.104364915,-0.003396803
1-Apr,84.29,3.052917,-0.026561959,0.069974671
1-May,84.56,3.186441,0.003203227,0.043736531
1-Jun,84.64,3.04054,0.000946074,-0.045788075
1-Jul,88.48,2.762803,0.04536862,-0.09134463
1-Aug,97.47,2.61745,0.101604882,-0.0526107
1-Sep,99.74,2.543507,0.023289217,-0.028250014
1-Oct,101.92,2.809365,0.021856828,0.104524186
1-Nov,102.04,2.60521,0.001177394,-0.072669447
1-Dec,103.53,2.53841,0.014602117,-0.025640927
1-Jan,106.94,2.727878,0.032937313,0.074640425
1-Feb,105.16,2.650762,-0.016644848,-0.028269593
1-Mar,107.34,2.840158,0.020730316,0.071449644
1-Apr,105.17,2.896642,-0.020216136,0.019887626
1-May,108.11,2.890933,0.02795474,-0.001970903
1-Jun,109.74,2.754098,0.015077236,-0.04733247
1-Jul,106.84,2.95082,-0.026426098,0.071428831
1-Aug,108.91,2.877698,0.019374766,-0.024780231
1-Sep,110.84,3.002611,0.017721054,0.043407265
1-Oct,114.04,2.992843,0.028870444,-0.003253169
1-Nov,113.96,3.255208,-0.000701508,0.087664137
1-Dec,115.89,3.322476,0.016935767,0.020664732
1-Jan,121.36,3.044041,0.047199931,-0.083803465
1-Feb,120.42,3.034216,-0.00774555,-0.003227617
1-Mar,123.94,2.761721,0.029231025,-0.089807384
1-Apr,127.09,2.495202,0.025415524,-0.09650468
1-May,116.23,2.234994,-0.085451255,-0.104283341
1-Jun,114.66,2.297384,-0.0135077,0.027915064
1-Jul,118.61,2.229299,0.034449677,-0.029635882
1-Aug,120.88,2.225048,0.019138353,-0.001906877
1-Sep,120.39,2.154626,-0.004053607,-0.031649654
1-Oct,120.41,2.084649,0.000166127,-0.032477562
1-Nov,127.89,1.828499,0.062121086,-0.122874402
1-Dec,130.59,1.702396,0.021111893,-0.06896531
1-Jan,127.09,1.571339,-0.02680144,-0.076983851
1-Feb,126.14,1.441103,-0.007475018,-0.082882179
1-Mar,133.11,1.375,0.055256065,-0.045869726
1-Apr,132.87,1.435705,-0.00180302,0.044149091
1-May,138.84,1.686446,0.044931136,0.174646602
1-Jun,138.86,1.684342,0.000144051,-0.001247594
1-Jul,144.53,1.682243,0.040832493,-0.001246184
1-Aug,139.12,1.616915,-0.037431675,-0.038833866
1-Sep,136.48,1.488834,-0.018976423,-0.079213193
1-Oct,115.79,1.485149,-0.151597304,-0.002475091
1-Nov,122.95,1.547988,0.061836083,0.04231158
1-Dec,113.69,1.611903,-0.075315169,0.04128908
1-Jan,116.32,1.670792,0.023133081,0.036533836
1-Feb,119.17,1.60593,0.024501376,-0.03882111
1-Mar,118.86,1.726264,-0.002601326,0.074931037
1-Apr,119.49,2.276923,0.005300353,0.318988868
1-May,121.52,2.088452,0.016988869,-0.082774428
1-Jun,121.04,1.96319,-0.003949967,-0.059978395
1-Jul,114.46,2.144608,-0.054362194,0.092409802
1-Aug,109.7,2.264382,-0.04158658,0.055848901
1-Sep,106.3,2.628362,-0.030993619,0.16074143
1-Oct,104.01,2.560976,-0.021542803,-0.025638021
1-Nov,102.03,2.621951,-0.019036631,0.023809282
1-Dec,102.25,2.684564,0.002156229,0.023880309
1-Jan,107.26,2.738892,0.048997555,0.020237178
1-Feb,110.18,3.221884,0.027223569,0.176345763
1-Mar,105.6,3.757576,-0.041568343,0.166266694
1-Apr,108.13,3.068592,0.023958333,-0.183358633
1-May,107.61,3.188929,-0.004809026,0.039215705
1-Jun,106.13,3.730445,-0.013753369,0.169811244
1-Jul,109.33,3.659268,0.030151701,-0.019080029
1-Aug,106.71,3.411131,-0.023964145,-0.067810557
1-Sep,108.12,3.454437,0.013213382,0.012695496
1-Oct,108.95,3.448276,0.007676656,-0.001783503
1-Nov,110.39,3.446227,0.013217072,-0.00059421
1-Dec,114.45,3.386809,0.036778694,-0.017241464
1-Jan,116.59,3.732228,0.018698121,0.101989513
1-Feb,117.34,3.533569,0.006432799,-0.053227991
1-Mar,126.32,2.920561,0.076529743,-0.173481259
1-Apr,123.62,3.269119,-0.021374288,0.119346249
1-May,119.34,3.61516,-0.034622229,0.105851454
1-Jun,124.63,3.24826,0.044327133,-0.101489284
1-Jul,125.02,2.719908,0.003129263,-0.16265693
1-Aug,118.79,2.719908,-0.049832027,0
1-Sep,119.52,2.648244,0.006145298,-0.02634795
1-Oct,122.47,2.126437,0.024682062,-0.197038868
1-Nov,123.45,1.895462,0.00800196,-0.108620665
1-Dec,131.68,1.551724,0.066666667,-0.181347872
1-Jan,134.72,1.142204,0.02308627,-0.263912912
1-Feb,133.32,1.137656,-0.010391924,-0.003981776
1-Mar,132.74,1.475596,-0.004350435,0.297049372
1-Apr,128.53,1.639344,-0.031716137,0.110970754
1-May,124.1,1.181767,-0.034466661,-0.279122015
1-Jun,119.57,1.067416,-0.03650282,-0.096762729
1-Jul,119.74,1.464789,0.001421761,0.372275664
1-Aug,118.39,1.802817,-0.011274428,0.230769073
1-Sep,121.68,1.514302,0.027789509,-0.160035655
1-Oct,122.48,2.025886,0.006574622,0.337834857
1-Nov,122.47,2.198422,-8.16E-05,0.0851657
1-Dec,118.55,2.37691,-0.032007839,0.081189144
1-Jan,119.91,2.597403,0.011471953,0.092764556
1-Feb,118.12,2.980877,-0.014927863,0.147637467
