463,UNH
464,UPS
465,URI
466,UTX
467,UHS
468,UNM
469,VFC
470,VLO
471,VAR
472,VTR
473,VRSN
474,VRSK
475,VZ
476,VRTX
477,VIAB
478,V
479,VNO
480,VMC
481,WMT
482,WBA
483,DIS
484,WM
485,WAT
486,WEC
487,WCG
488,WFC
489,WELL
490,WDC
491,WU
492,WRK
493,WY
494,WHR
495,WMB
496,WLTW
497,WYNN
498,XEL
499,XRX
500,XLNX
501,XYL
502,YUM
503,ZBH
504,ZION
505,ZTS
